alpha,run,eps,min_samples,mi_A,mi_B,mi_C,mi_D,polarization_mean
0.0,0,15.0,5,0.0,0.0,0.2840039568795169,0.2840039568795169,0.03988396493892471
0.0,1,15.0,5,0.0,0.0,0.2840039568795169,0.2840039568795169,0.03988396493892471
0.0,2,15.0,5,0.0,0.0,0.2840039568795169,0.2840039568795169,0.03988396493892471
0.0,3,15.0,5,0.0,0.0,0.2840039568795169,0.2840039568795169,0.03988396493892471
0.0,4,15.0,5,0.0,0.0,0.2840039568795169,0.2840039568795169,0.03988396493892471
0.0,5,15.0,5,0.0,0.0,0.2840039568795169,0.2840039568795169,0.03988396493892471
0.0,6,15.0,5,0.0,0.0,0.2840039568795169,0.2840039568795169,0.03988396493892471
0.0,7,15.0,5,0.0,0.0,0.2840039568795169,0.2840039568795169,0.03988396493892471
0.0,8,15.0,5,0.0,0.0,0.2840039568795169,0.2840039568795169,0.03988396493892471
0.0,9,15.0,5,0.0,0.0,0.2840039568795169,0.2840039568795169,0.03988396493892471
0.0,10,15.0,5,0.0,0.0,0.2840039568795169,0.2840039568795169,0.03988396493892471
0.0,11,15.0,5,0.0,0.0,0.2840039568795169,0.2840039568795169,0.03988396493892471
0.0,12,15.0,5,0.0,0.0,0.2840039568795169,0.2840039568795169,0.03988396493892471
0.0,13,15.0,5,0.0,0.0,0.2840039568795169,0.2840039568795169,0.03988396493892471
0.0,14,15.0,5,0.0,0.0,0.2840039568795169,0.2840039568795169,0.03988396493892471
0.0,15,15.0,5,0.0,0.0,0.2840039568795169,0.2840039568795169,0.03988396493892471
0.0,16,15.0,5,0.0,0.0,0.3229127881495806,0.3229127881495806,0.0216349527263309
0.0,17,15.0,5,0.0,0.0,0.3229127881495806,0.3229127881495806,0.0216349527263309
0.0,18,15.0,5,0.0,0.0,0.3229127881495806,0.3229127881495806,0.0216349527263309
0.0,19,15.0,5,0.0,0.0,0.3229127881495806,0.3229127881495806,0.0216349527263309
0.01,0,15.0,5,0.0,0.0,0.19919358730129755,0.19919358730129755,0.029425438070980376
0.01,1,15.0,5,0.0,0.0,0.19919358730129755,0.19919358730129755,0.029425438070980376
0.01,2,15.0,5,0.0,0.0,0.19919358730129755,0.19919358730129755,0.029425438070980376
0.01,3,15.0,5,0.0,0.0,0.19919358730129755,0.19919358730129755,0.029425438070980376
